mssv,ho_ten,ngay_sinh,khoa,nganh,nam_hoc,hoc_ky,gpa_hoc_ky,diem_ren_luyen,loai_hoc_bong_dang_ky,hoan_canh_kho_khan,vipham_ky_luat,no_hoc_phi,ket_qua_xet_hoc_bong,ly_do_truot_hoac_xep_loai
211A000346,Nguyen Thi Cuong,2003-09-28,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,2.81,93,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000347,Le Quoc Quan,2003-11-01,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.28,70,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000348,Phan Minh Quang,2003-10-01,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.32,58,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000349,Ngo Tan Mai,2003-06-23,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.55,57,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000350,Hoang Truc Bich,2003-09-23,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.99,56,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000351,Mai Tuyet Quan,2003-03-15,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,2.49,60,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000352,Le Thanh Lam,2003-01-07,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.86,82,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000353,Huynh Truc Quan,2003-09-21,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,2.85,71,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000354,Dinh Duc Phong,2003-12-11,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.89,93,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000355,Nguyen Duc Mai,2003-08-15,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 2,3.63,73,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000356,Ly Tuyet Hang,2003-09-01,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.43,63,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000357,Phan Truc Phong,2003-12-25,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,2.39,95,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000358,Vu Khanh Quan,2003-12-28,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.14,65,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000359,Dang Gia Phong,2003-05-20,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,3.37,60,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000360,Huynh Kim Khoa,2003-09-21,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.24,60,Hoc bong Trai tim Hung Hau,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000361,Nguyen Nhat Nam,2003-05-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.1,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000362,Do Gia Nhi,2003-05-02,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.49,70,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000363,Ly Thi Quang,2003-04-29,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.17,61,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000364,Dang Viet Vy,2003-01-19,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.34,72,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000365,Huynh Khanh Dung,2003-02-27,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.38,79,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000366,Ngo Huu Quang,2003-11-06,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,3.18,55,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000367,Vo Huu Thao,2003-05-12,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 2,2.42,76,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000368,Pham Hoang Dung,2003-11-24,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.48,70,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000369,Do Tan Giang,2003-02-15,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,3.43,90,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000370,Ngo Hoang Yen,2003-07-13,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.32,71,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000371,Hoang Truc An,2003-03-26,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.14,94,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000372,Mai Kim Quan,2003-08-11,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.64,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000373,Phan Gia Thao,2003-08-29,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.77,64,Hoc bong Tai nang VHU,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000374,Do Gia Vy,2003-06-18,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.43,76,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000375,Ngo Truc Cuong,2003-01-18,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 1,2.44,86,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000376,Ly Ngoc Quan,2003-03-31,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.87,93,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000377,Nguyen Ngoc Cuong,2003-11-17,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.7,88,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000378,Le Ngoc Quang,2003-09-22,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.37,77,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000379,Do Thanh Mai,2003-01-24,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.43,80,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000380,Trinh Tuyet Thao,2003-09-11,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.72,78,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000381,Do Gia Quan,2003-11-21,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.39,98,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000382,Pham Tan Vy,2003-06-30,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.93,68,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000383,Bui Quoc Thao,2003-04-17,Kinh te,Marketing,2025-2026,Hoc ky 2,3.42,83,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000384,Phan Minh Dung,2003-03-11,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.39,86,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000385,Ly Tan Vy,2003-05-09,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.31,80,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000386,Bui Truc Mai,2003-08-12,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,3.71,99,Hoc bong Dong hanh Vuot kho,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000387,Tran Hoang Dung,2003-04-06,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,2.31,98,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000388,Truong Minh Nhi,2003-12-25,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.39,60,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000389,Phan Tan Quang,2003-05-17,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.04,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000390,Dinh Duc Giang,2003-02-18,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.94,87,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000391,Truong Minh Quan,2003-03-11,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.62,78,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000392,Cao Quoc Dung,2003-11-28,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.2,96,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000393,Dang Tuyet Thinh,2003-05-06,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.22,97,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000394,Dinh Viet Quang,2003-12-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.7,59,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000395,Ngo Tuyet Nam,2003-07-09,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.63,74,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000396,Ly Kim Phong,2003-10-20,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.37,77,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000397,Vu Tuyet Nam,2003-05-02,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.1,92,Hoc bong Dong hanh Vuot kho,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000398,Bui Minh Phong,2003-03-04,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,3.31,91,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000399,Ly Minh Hang,2003-05-28,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,3.3,73,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000400,Le Nhat Nam,2003-10-18,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.62,94,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000401,Vo Tuyet Nhi,2003-12-02,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.39,75,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000402,Bui Khanh Nam,2003-06-30,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.75,96,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Xuat sac
211A000403,Ly Quoc Khoa,2003-12-25,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 2,2.83,61,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000404,Nguyen Viet Giang,2003-09-09,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.87,88,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000405,Ly Viet Quang,2003-09-02,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.54,57,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000406,Trinh Phuong An,2003-06-26,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,2.21,73,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000407,Duong Hoang Hang,2003-05-14,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.17,71,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000408,Ly Kim Vy,2003-11-22,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.9,94,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000409,Pham Thi Lam,2003-11-25,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.77,70,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000410,Bui Ngoc Quang,2003-12-08,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.35,55,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000411,Truong Khanh Cuong,2003-11-14,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.3,91,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000412,Ngo Truc Mai,2003-05-18,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,3.01,90,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000413,Nguyen Thi Linh,2003-11-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.9,92,Hoc bong Tai nang VHU,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000414,Mai Hoang Thao,2003-02-17,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.59,64,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000415,Le Khanh Vy,2003-12-05,Kinh te,Marketing,2025-2026,Hoc ky 2,2.79,94,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000416,Dinh Minh Lam,2003-04-23,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.38,55,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000417,Vu Van Bich,2003-12-30,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.44,80,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000418,Phan Viet Vy,2003-12-13,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.2,83,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000419,Duong Huu An,2003-10-08,Kinh te,Ke toan,2025-2026,Hoc ky 1,2.34,78,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000420,Dinh Viet Lam,2003-01-26,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.11,98,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000421,Pham Ngoc Em,2003-06-19,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,3.17,92,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000422,Phan Ngoc Khoa,2003-04-04,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.0,65,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000423,Vu Ngoc Bich,2003-08-13,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,3.8,80,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000424,Nguyen Minh Thao,2003-09-23,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.17,56,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000425,Vo Hoang Thinh,2003-07-11,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 1,2.53,86,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000426,Trinh Thi Thinh,2003-06-20,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.13,78,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000427,Duong Huu An,2003-03-24,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.38,58,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000428,Ly Gia Phong,2003-10-18,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.14,76,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000429,Trinh Tuyet Giang,2003-09-19,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.03,83,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000430,Bui Van Yen,2003-04-28,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 1,3.62,57,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000431,Truong Thi Cuong,2003-12-31,Kinh te,Luat Kinh te,2025-2026,Hoc ky 1,3.79,69,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000432,Mai Phuong Nhi,2003-02-27,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.95,78,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000433,Le Gia Nhi,2003-06-12,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.34,88,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000434,Le Ngoc Vy,2003-07-01,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.42,94,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000435,Bui Viet Cuong,2003-10-04,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.38,95,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000436,Hoang Thi Khoa,2003-03-11,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.48,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000437,Dang Kim Vy,2003-02-22,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.95,65,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000438,Tran Thanh Quang,2003-01-27,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.96,61,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000439,Phan Tuyet Nam,2003-07-13,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,3.77,55,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000440,Tran Thi Thao,2003-08-29,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.85,83,Hoc bong Trai tim Hung Hau,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000441,Huynh Ngoc Thinh,2003-08-26,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,2.42,56,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000442,Hoang Minh Yen,2003-04-13,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.64,56,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000443,Mai Van Quan,2003-12-08,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.83,63,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000444,Mai Nhat Lam,2003-01-09,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.48,75,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000445,Nguyen Gia Dung,2003-07-30,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,3.63,71,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000446,Tran Nhat Thao,2003-02-26,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.56,58,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000447,Tran Ngoc Mai,2003-08-18,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.14,93,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000448,Le Gia Quan,2003-05-31,Kinh te,Ke toan,2025-2026,Hoc ky 2,3.62,73,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Kha
211A000449,Nguyen Hoang Giang,2003-06-12,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,3.92,65,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000450,Vu Nhat Vy,2003-04-30,Kinh te,Marketing,2025-2026,Hoc ky 2,3.47,80,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000451,Duong Minh Quan,2003-04-08,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.72,81,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000452,Phan Phuong Nam,2003-02-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.39,68,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000453,Tran Viet Thao,2003-10-05,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,3.61,79,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000454,Ly Phuong Vy,2003-12-20,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.67,85,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000455,Nguyen Kim Dung,2003-12-08,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.65,81,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000456,Phan Tan Nam,2003-01-18,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.77,78,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000457,Dinh Van Hang,2003-09-27,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.09,92,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000458,Hoang Gia Giang,2003-08-05,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.65,76,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Kha
211A000459,Dang Quoc An,2003-06-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.42,80,Hoc bong Trai tim Hung Hau,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000460,Duong Minh Em,2003-09-06,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,3.93,67,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000461,Pham Tuyet Nhi,2003-07-22,Kinh te,Ke toan,2025-2026,Hoc ky 2,3.66,69,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
